,Date,Closed PnL
163,2024-06-06,274.173187
164,2024-06-07,108.87217799999999
165,2024-06-08,267.318048
166,2024-06-09,-1104.856765
167,2024-06-10,130.487079
168,2024-06-11,2821.24842
169,2024-06-12,-92889.950005
170,2024-06-13,6632.757115
171,2024-06-14,10258.592609
172,2024-06-15,3369.958346
173,2024-06-16,0.0
174,2024-06-17,10599.502375
175,2024-06-18,282.57636
176,2024-06-19,4887.656944
177,2024-06-20,57478.456026
178,2024-06-21,773.5582039999999
179,2024-06-22,756.876565
180,2024-06-23,0.0
181,2024-06-24,0.0
182,2024-06-25,4869.353105
183,2024-06-26,4197.732182
184,2024-06-27,0.0
185,2024-06-29,6150.326145
186,2024-06-30,0.0
187,2024-07-01,-835.681235
188,2024-07-02,241.24212
189,2024-07-04,0.0
190,2024-07-05,883.537693
191,2024-07-06,8902.467416
192,2024-07-07,61.428942
193,2024-07-08,188.789255
194,2024-07-10,0.0
195,2024-07-11,1132.4250359999999
196,2024-07-12,81898.267018
197,2024-07-13,2913.617837
198,2024-07-14,0.0
199,2024-07-15,0.0
200,2024-07-16,0.0
201,2024-07-17,1859.269477
202,2024-07-18,3803.884311
203,2024-07-19,2155.891114
204,2024-07-20,2299.169566
205,2024-07-21,-2960.716887
206,2024-07-22,1517.119876
207,2024-07-23,89890.302206
208,2024-07-24,625.561479
209,2024-07-25,916.7382600000001
210,2024-07-26,2766.513113
211,2024-07-27,6400.623656
212,2024-07-28,587.29903
213,2024-07-29,330.80445399999996
214,2024-07-30,0.0
215,2024-07-31,765.690884
216,2024-08-01,-269.874439
217,2024-08-02,770.756024
218,2024-08-03,4271.886236
219,2024-08-04,1218.4267
220,2024-08-05,1.56576
221,2024-08-06,129.13883900000002
222,2024-08-07,0.0
223,2024-08-08,0.0
224,2024-08-10,5396.546638
225,2024-08-11,646.3734049999999
226,2024-08-12,205.528418
227,2024-08-13,212.08102
228,2024-08-14,2168.9015130000003
229,2024-08-15,0.0
230,2024-08-16,825.230544
231,2024-08-17,0.0
232,2024-08-18,307.201888
233,2024-08-19,339.69958299999996
234,2024-08-20,192.602844
235,2024-08-21,656.200925
236,2024-08-23,1005.30527
237,2024-08-24,0.0
238,2024-08-25,0.0
239,2024-08-26,231.236918
240,2024-08-27,0.0
241,2024-08-28,1333.359645
242,2024-08-29,0.0
243,2024-08-30,256.464
244,2024-08-31,10.882801
245,2024-09-01,-826.349863
246,2024-09-03,9949.501624
247,2024-09-04,0.0
248,2024-09-05,1147.595856
249,2024-09-06,0.0
250,2024-09-07,648.984412
251,2024-09-08,18082.071276
252,2024-09-09,0.0
253,2024-09-10,396.06272
254,2024-09-11,102.90894
255,2024-09-12,2661.806087
256,2024-09-14,0.0
257,2024-09-18,-878.684794
258,2024-09-19,0.0
259,2024-09-20,9585.03428
260,2024-09-21,36165.56933
261,2024-09-22,0.0
262,2024-09-23,334.760796
263,2024-09-24,0.0
264,2024-09-25,0.0
265,2024-09-26,439.812513
266,2024-09-27,0.0
267,2024-09-28,0.0
268,2024-09-30,2710.626288
269,2024-10-01,-1517.091342
270,2024-10-03,2482.9272
271,2024-10-04,5207.443414
272,2024-10-05,2101.741695
273,2024-10-06,31.266804999999998
274,2024-10-07,11977.734907
275,2024-10-08,0.0
276,2024-10-09,0.0
277,2024-10-10,0.0
278,2024-10-11,991.114334
279,2024-10-12,11613.338637
280,2024-10-13,0.0
281,2024-10-14,1913.61958
282,2024-10-15,1170.2260760000001
283,2024-10-16,219.480876
284,2024-10-17,36.11496
285,2024-10-18,333.219141
286,2024-10-19,0.0
287,2024-10-20,389.155797
288,2024-10-21,2464.915564
289,2024-10-22,0.0
290,2024-10-23,-46.489941
291,2024-10-25,13235.862071
292,2024-10-26,42471.99413
293,2024-10-27,666.6623079999999
294,2024-10-28,0.0
295,2024-10-29,801.170876
296,2024-10-30,9.150023
297,2024-10-31,1216.5972259999999
298,2024-11-01,-164.08950099999998
299,2024-11-02,983.443176
300,2024-11-03,3588.179495
301,2024-11-04,389.743164
302,2024-11-05,251.604742
303,2024-11-06,4320.631811
304,2024-11-07,1876.812082
305,2024-11-08,847.7766200000001
306,2024-11-09,0.0
307,2024-11-10,8885.327477
